fecha,desempleo
1990-01-01,18.7
1991-01-01,20.7
1992-01-01,22.1
1993-01-01,22.4
1994-01-01,19.5
1995-01-01,17.6
1996-01-01,18.0
1997-01-01,17.7
1998-01-01,17.7
1999-01-01,16.6
2000-01-01,13.2
2001-01-01,14.7
2002-01-01,15.3
2003-01-01,14.7
2004-01-01,12.7
2005-01-01,13.5
2006-01-01,12.5
2007-01-01,12.9
2008-01-01,12.3
2009-01-01,16.0
2010-01-01,20.4
2011-01-01,19.8
2012-01-01,18.7
2013-01-01,17.5
2014-01-01,16.5
2015-01-01,14.0
2016-01-01,14.5
2017-01-01,14.2
2018-01-01,12.1
2019-01-01,10.1
2020-01-01,
2021-01-01,8.9
2022-01-01,7.6
2023-01-01,7.6
2024-01-01,7.0
