"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","año","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","ingreso_medio","Variable properties name"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",9854,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",10068,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",10095,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",10496,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",11029,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",11096,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",11452,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",12065,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",12550,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",12489,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",13148,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",13695,"Median Income of a Population"
"geoId/72005","","Aguadilla Municipio","Median_Income_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",14381,"Median Income of a Population"
