"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","año","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","pobreza","Variable properties name"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",31366,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",29837,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",29041,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",28492,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",27742,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",27469,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",27928,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",27075,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",26625,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",25994,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",27085,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",26316,"Population Below Poverty Level Status in Past Year"
"geoId/72005","","Aguadilla Municipio","Count_Person_BelowPovertyLevelInThePast12Months","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",25791,"Population Below Poverty Level Status in Past Year"
